id,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
75,SYK,Stryker Corporation,Health Care,Kalamazoo,Michigan,2024-05-17,334,334,0.02,940500,$127.50 B
76,ELV,Elevance Health,Health Care,Indianapolis,Indiana,2024-05-17,546,547,0.23,774200,$127.30 B
77,BKNG,Booking Holdings,Consumer Discretionary,Norwalk,Connecticut,2024-05-17,3758,3708,-1.33,197800,$125.82 B
78,T,AT&T,Communication Services,Dallas,Texas,2024-05-17,17,17,0.0,25883400,$124.76 B
79,PGR,Progressive Corporation,Financials,Mayfield Village,Ohio,2024-05-17,209,209,-0.04,2005000,$122.54 B
80,C,Citigroup,Financials,New York City,New York,2024-05-17,64,64,-0.48,8417500,$122.21 B
81,BLK,BlackRock,Financials,New York City,New York,2024-05-17,810,812,0.22,383900,$120.70 B
82,LRCX,Lam Research,Information Technology,Fremont,California,2024-05-17,952,912,-4.24,910600,$119.24 B
83,VRTX,Vertex Pharmaceuticals,Health Care,Cambridge,Massachusetts,2024-05-17,442,445,0.73,1382400,$114.89 B
84,MDT,Medtronic,Health Care,Dublin,Ireland,2024-05-17,85,85,0.1,8235500,$114.09 B
85,TJX,TJX Companies,Consumer Discretionary,Framingham,Massachusetts,2024-05-17,99,100,1.09,6466500,$113.58 B
86,BA,Boeing,Industrials,Arlington,Virginia,2024-05-17,183,184,0.93,5557900,$113.54 B
87,LMT,Lockheed Martin,Industrials,Bethesda,Maryland,2024-05-17,465,466,0.08,677200,$111.86 B
88,CB,Chubb Limited,Financials,Zurich,Switzerland,2024-05-17,267,274,2.57,4301000,$111.37 B
89,DE,John Deere,Industrials,Moline,Illinois,2024-05-17,394,397,0.65,1611700,$110.51 B
90,BSX,Boston Scientific,Health Care,Marlborough,Massachusetts,2024-05-17,74,74,-0.39,6978200,$109.75 B
91,REGN,Regeneron,Health Care,Tarrytown,New York,2024-05-17,969,982,1.34,386600,$108.23 B
92,ADI,Analog Devices,Information Technology,Wilmington,Massachusetts,2024-05-17,214,214,-0.2,2373800,$106.16 B
93,MMC,Marsh McLennan,Financials,New York City,New York,2024-05-17,210,209,-0.08,1119900,$103.46 B
94,ADP,Automatic Data Processing,Industrials,Roseland,New Jersey,2024-05-17,250,252,0.91,1291500,$103.28 B
95,PLD,Prologis,Real Estate,San Francisco,California,2024-05-17,111,111,0.33,3260600,$103.23 B
96,PANW,Palo Alto Networks,Information Technology,Santa Clara,California,2024-05-17,317,317,0.27,3410000,$102.70 B
97,KLAC,KLA Corporation,Information Technology,Milpitas,California,2024-05-17,756,747,-1.16,585900,$100.67 B
98,ANET,Arista Networks,Information Technology,Santa Clara,California,2024-05-17,324,319,-1.32,1663700,$100.24 B
99,CI,Cigna,Health Care,Bloomfield,Connecticut,2024-05-17,338,338,0.0,2010200,$96.22 B
100,MDLZ,Mondelez International,Consumer Staples,Chicago,Illinois,2024-05-17,71,71,-0.92,5827800,$95.55 B
101,ABNB,Airbnb,Consumer Discretionary,San Francisco,California,2024-05-17,146,145,-0.78,3270700,$92.47 B
102,AMT,American Tower,Real Estate,Boston,Massachusetts,2024-05-17,195,194,-0.54,2157300,$90.83 B
103,FI,Fiserv,Financials,Brookfield,Wisconsin,2024-05-17,153,152,-0.51,3094000,$89.91 B
104,BMY,Bristol Myers Squibb,Health Care,New York City,New York,2024-05-17,44,44,-0.61,15785300,$89.25 B
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Newport Beach,California,2024-05-17,3145,3213,2.17,264100,$88.26 B
106,SBUX,Starbucks,Consumer Discretionary,Seattle,Washington,2024-05-17,75,77,3.43,14414800,$88.18 B
107,SO,Southern Company,Utilities,Atlanta,Georgia,2024-05-17,78,79,1.11,4833700,$86.97 B
108,SNPS,Synopsys,Information Technology,Sunnyvale,California,2024-05-17,571,566,-0.77,560900,$86.45 B
109,HCA,HCA Healthcare,Health Care,Nashville,Tennessee,2024-05-17,323,322,-0.23,736900,$84.56 B
110,WM,Waste Management,Industrials,Houston,Texas,2024-05-17,212,210,-0.96,2054800,$84.40 B
111,GILD,Gilead Sciences,Health Care,Foster City,California,2024-05-17,67,67,-0.15,3579000,$84.37 B
112,GD,General Dynamics,Industrials,Falls Church,Virginia,2024-05-17,296,299,0.82,894200,$82.04 B
113,DUK,Duke Energy,Utilities,Charlotte,North Carolina,2024-05-17,103,103,0.73,3694000,$80.18 B
114,ZTS,Zoetis,Health Care,Parsippany,New Jersey,2024-05-17,174,174,0.01,1999500,$79.42 B
115,ICE,Intercontinental Exchange,Financials,Atlanta,Georgia,2024-05-17,137,138,0.43,2060700,$79.38 B
116,APH,Amphenol,Information Technology,Wallingford,Connecticut,2024-05-17,133,131,-0.82,4506300,$79.23 B
117,SHW,Sherwin-Williams,Materials,Cleveland,Ohio,2024-05-17,315,312,-1.1,968600,$79.21 B
118,MO,Altria,Consumer Staples,Richmond,Virginia,2024-05-17,46,46,0.07,9241300,$79.15 B
119,CDNS,Cadence Design Systems,Information Technology,San Jose,California,2024-05-17,290,288,-0.41,895800,$78.60 B
120,FCX,Freeport-McMoRan,Materials,Phoenix,Arizona,2024-05-17,52,54,2.84,17933700,$77.90 B
121,CL,Colgate-Palmolive,Consumer Staples,New York City,New York,2024-05-17,94,94,-0.43,4135200,$77.23 B
122,CME,CME Group,Financials,Chicago,Illinois,2024-05-17,214,213,-0.55,1465100,$76.74 B
123,EQIX,Equinix,Real Estate,Redwood City,California,2024-05-17,800,799,-0.12,499400,$75.93 B
124,MCO,Moody's Corporation,Financials,New York City,New York,2024-05-17,413,413,0.05,863100,$75.59 B
125,ITW,Illinois Tool Works,Industrials,Glenview,Illinois,2024-05-17,250,250,0.15,961800,$74.78 B
