Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
469,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2023-12-22,99,98,-0.3192301272144286,1137227,1075292,$10.54 B
470,EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",2023-12-22,88,88,-0.30444169210944155,827129,1063957,$10.51 B
471,CZR,Caesars Entertainment,Consumer Discretionary,"Reno, Nevada",2023-12-22,48,48,-0.21401281453871346,2599588,4578705,$10.40 B
472,UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania",2023-12-22,150,150,0.1152406835390877,367386,497206,$10.30 B
473,WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",2023-12-22,90,90,0.539481616705456,1496278,2075801,$10.30 B
474,PARA,Paramount Global,Communication Services,"New York City, New York",2023-12-22,15,15,-1.7950881668199155,13992340,20225395,$10.29 B
475,ETSY,Etsy,Consumer Discretionary,"New York City, New York",2023-12-22,84,85,1.7554274186445185,4977331,5900113,$10.26 B
476,HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",2023-12-22,255,256,0.4749141425219645,168316,343988,$10.21 B
477,CHRW,CH Robinson,Industrials,"Eden Prairie, Minnesota",2023-12-22,84,85,0.26653281784595584,1038218,1371997,$9.99 B
478,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",2023-12-22,41,42,1.4203659418518622,2121952,3795666,$9.75 B
479,HSIC,Henry Schein,Health Care,"Melville, New York",2023-12-22,74,74,-0.32072683663565815,974476,1343167,$9.67 B
480,DVA,DaVita Inc.,Health Care,"Denver, Colorado",2023-12-22,106,106,-0.18450308195037493,560228,985267,$9.66 B
481,MTCH,Match Group,Communication Services,"Dallas, Texas",2023-12-22,34,34,0.9043139387415501,4354056,6797792,$9.54 B
482,RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York",2023-12-22,143,145,1.666588756589933,815809,794536,$9.53 B
483,JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",2023-12-22,29,29,0.23321948190638142,2138282,3600719,$9.37 B
484,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",2023-12-22,14,14,-0.26738136289349296,20102868,36458476,$9.37 B
485,RHI,Robert Half,Industrials,"Menlo Park, California",2023-12-22,87,87,0.08200624505740386,460956,723339,$9.30 B
486,BIO,Bio-Rad,Health Care,"Hercules, California",2023-12-22,311,312,0.2204134393586966,294793,331854,$9.09 B
487,AIZ,Assurant,Financials,"Atlanta, Georgia",2023-12-22,165,166,0.8081865367768458,287284,443546,$8.79 B
488,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida",2023-12-22,20,20,0.04892479907830145,9614923,16759375,$8.66 B
489,FRT,Federal Realty,Real Estate,"Rockville, Maryland",2023-12-22,104,104,-0.2860119813523453,363096,603801,$8.64 B
490,TPR,"Tapestry, Inc.",Consumer Discretionary,"New York City, New York",2023-12-22,36,36,0.8674497032649288,2624881,3868406,$8.51 B
491,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",2023-12-22,35,35,0.3985936775150518,1529104,2812605,$8.39 B
492,PNW,Pinnacle West,Utilities,"Phoenix, Arizona",2023-12-22,72,72,-0.8679407626369209,745662,1064085,$8.15 B
493,GNRC,Generac,Industrials,"Waukesha, Wisconsin",2023-12-22,129,130,0.8467400973578,616783,1145013,$8.06 B
494,CTLT,Catalent,Health Care,"Somerset, New Jersey",2023-12-22,42,43,1.5999981037621416,1723736,2146926,$8.00 B
495,IVZ,Invesco,Financials,"Atlanta, Georgia",2023-12-22,17,17,-0.10474253463348814,2856713,6358773,$7.87 B
496,FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",2023-12-22,60,60,0.022171341736014576,1412685,1873326,$7.56 B
497,XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina",2023-12-22,34,34,-0.043501192180471215,2092362,3043220,$7.33 B
498,CMA,Comerica,Financials,"Dallas, Texas",2023-12-22,55,55,0.08755008978311406,1193130,2536467,$7.30 B
499,VFC,VF Corporation,Consumer Discretionary,"Denver, Colorado",2023-12-22,18,18,-0.45584745384473147,8357178,7572195,$7.23 B
500,HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island",2023-12-22,51,51,0.6829732446648159,1566452,2120462,$7.13 B
501,MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia",2023-12-22,104,104,-0.40499924601398324,483167,1036058,$6.67 B
502,WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan",2023-12-22,119,118,-0.09764813176722864,445823,1001151,$6.53 B
503,ZION,Zions Bancorporation,Financials,"Salt Lake City, Utah",2023-12-22,43,43,-0.6319461058269802,1506226,2814386,$6.44 B
