Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
102,KLAC,KLA Corporation,Information Technology,Milpitas,California,2024-03-01,688,717,4.26,1124382,$97.04 B
103,AMT,American Tower,Real Estate,Boston,Massachusetts,2024-03-01,198,201,1.44,3470818,$94.05 B
104,CVS,CVS Health,Health Care,Woonsocket,Rhode Island,2024-03-01,74,73,-1.06,8039905,$92.92 B
105,SNPS,Synopsys,Information Technology,Sunnyvale,California,2024-03-01,572,591,3.28,954569,$90.21 B
106,GILD,Gilead Sciences,Health Care,Foster City,California,2024-03-01,72,72,0.21,5317015,$90.08 B
107,ANET,Arista Networks,Information Technology,Santa Clara,California,2024-03-01,281,287,2.18,2645326,$89.96 B
108,FI,Fiserv,Financials,Brookfield,Wisconsin,2024-03-01,149,150,0.5,2093688,$88.77 B
109,ZTS,Zoetis,Health Care,Parsippany,New Jersey,2024-03-01,196,190,-2.64,3724316,$87.37 B
110,CDNS,Cadence Design Systems,Information Technology,San Jose,California,2024-03-01,303,315,3.98,1839421,$85.82 B
111,SHW,Sherwin-Williams,Materials,Cleveland,Ohio,2024-03-01,330,335,1.49,1596230,$85.30 B
112,EQIX,Equinix,Real Estate,Redwood City,California,2024-03-01,884,900,1.77,496923,$85.21 B
113,WM,Waste Management,Industrials,Houston,Texas,2024-03-01,204,205,0.62,1329491,$82.64 B
114,HCA,HCA Healthcare,Health Care,Nashville,Tennessee,2024-03-01,311,311,0.13,1205812,$82.52 B
115,ICE,Intercontinental Exchange,Financials,Atlanta,Georgia,2024-03-01,138,138,0.36,1362058,$79.35 B
116,CME,CME Group,Financials,Chicago,Illinois,2024-03-01,221,219,-1.15,1163927,$78.91 B
117,ITW,Illinois Tool Works,Industrials,Glenview,Illinois,2024-03-01,261,260,-0.59,1139799,$77.74 B
118,CSX,CSX,Industrials,Jacksonville,Florida,2024-03-01,37,38,1.14,7888227,$74.90 B
119,GD,General Dynamics,Industrials,Falls Church,Virginia,2024-03-01,273,271,-0.49,650761,$74.51 B
120,CMG,Chipotle Mexican Grill,Consumer Discretionary,Newport Beach,California,2024-03-01,2699,2688,-0.4,164652,$73.73 B
121,SO,Southern Company,Utilities,Atlanta,Georgia,2024-03-01,67,66,-0.25,4748199,$72.95 B
122,MAR,Marriott International,Consumer Discretionary,Bethesda,Maryland,2024-03-01,248,250,0.41,1090562,$72.37 B
123,MO,Altria,Consumer Staples,Richmond,Virginia,2024-03-01,40,40,-0.1,6315925,$72.05 B
124,TGT,Target Corporation,Consumer Staples,Minneapolis,Minnesota,2024-03-01,153,155,1.34,3639451,$71.69 B
125,CL,Colgate-Palmolive,Consumer Staples,New York City,New York,2024-03-01,86,86,0.14,2386660,$71.19 B
126,SLB,Schlumberger,Energy,Houston,Texas,2024-03-01,49,49,0.71,7878566,$70.69 B
127,DUK,Duke Energy,Utilities,Charlotte,North Carolina,2024-03-01,91,90,-0.97,3366876,$70.04 B
128,MCO,Moody's Corporation,Financials,New York City,New York,2024-03-01,378,382,0.96,583141,$69.53 B
129,MCK,McKesson,Health Care,Irving,Texas,2024-03-01,523,525,0.45,721497,$69.10 B
130,PH,Parker Hannifin,Industrials,Cleveland,Ohio,2024-03-01,535,537,0.44,513598,$69.06 B
131,NOC,Northrop Grumman,Industrials,West Falls Church,Virginia,2024-03-01,461,454,-1.32,1272511,$68.25 B
132,BDX,Becton Dickinson,Health Care,Franklin Lakes,New Jersey,2024-03-01,235,235,-0.04,1421072,$67.98 B
133,EOG,EOG Resources,Energy,Houston,Texas,2024-03-01,115,116,0.35,2993318,$67.34 B
134,APH,Amphenol,Information Technology,Wallingford,Connecticut,2024-03-01,109,110,1.54,2032275,$66.47 B
135,NXPI,NXP Semiconductors,Information Technology,Eindhoven,Netherlands,2024-03-01,251,257,2.21,2437902,$66.04 B
