Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
78,SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan",2023-12-22,291,292,0.26751987026802226,1022141,1452316,$111.46 B
79,LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",2023-12-22,446,447,0.28056891480382656,689865,1209187,$111.02 B
80,DE,John Deere,Industrials,"Moline, Illinois",2023-12-22,388,389,0.32078400990927414,1315318,2249206,$110.08 B
81,ELV,Elevance Health,Health Care,"Indianapolis, Indiana",2023-12-22,467,466,-0.16933563288964731,1124950,1207618,$109.39 B
82,SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington",2023-12-22,96,96,-0.08260669525978372,5160186,9038411,$109.18 B
83,MDT,Medtronic,Health Care,"Dublin, Ireland",2023-12-22,82,82,-0.09718873767379013,4516685,6123425,$108.41 B
84,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",2023-12-22,51,51,0.17766104028191154,10791931,15956584,$105.12 B
85,VRTX,Vertex Pharmaceuticals,Health Care,"Cambridge, Massachusetts",2023-12-22,405,403,-0.32498368340016864,1217070,1886893,$104.05 B
86,TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts",2023-12-22,90,90,0.6106678467971957,3385353,5069101,$103.46 B
87,LRCX,Lam Research,Information Technology,"Fremont, California",2023-12-22,773,776,0.44399251340789986,672032,1024499,$102.65 B
88,CVS,CVS Health,Health Care,"Woonsocket, Rhode Island",2023-12-22,75,76,1.0462168587554301,7040220,9614702,$100.07 B
89,AMT,American Tower,Real Estate,"Boston, Massachusetts",2023-12-22,211,211,0.09921577271506897,1477285,2173787,$99.70 B
90,GILD,Gilead Sciences,Health Care,"Foster City, California",2023-12-22,79,79,-0.9004892806006162,4651054,7750302,$98.23 B
91,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",2023-12-22,198,197,-0.5900737220841037,1975969,3271192,$97.68 B
92,C,Citigroup,Financials,"New York City, New York",2023-12-22,50,50,0.8210686635359817,15174775,21968207,$97.45 B
93,ADP,Automated Data Processing,Industrials,"Roseland, New Jersey",2023-12-22,234,234,-0.24403757419177843,1063860,1971208,$96.40 B
94,PANW,Palo Alto Networks,Information Technology,"Santa Clara, California",2023-12-22,305,307,0.47531156515400697,2750367,4386971,$96.35 B
95,MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois",2023-12-22,70,70,0.04941440412286709,3931868,6139003,$95.96 B
96,ETN,Eaton Corporation,Industrials,"Dublin, Ireland",2023-12-22,237,237,-0.14298189821405533,1000852,1630941,$94.57 B
97,MMC,Marsh McLennan,Financials,"New York City, New York",2023-12-22,188,188,0.06821910393933045,1618074,1844146,$92.35 B
98,REGN,Regeneron,Health Care,"Tarrytown, New York",2023-12-22,852,848,-0.4233911930802729,533210,609040,$92.32 B
99,ABNB,Airbnb,Consumer Discretionary,"San Francisco, California",2023-12-22,147,146,-0.6448910139374627,3697214,5702222,$92.19 B
100,PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio",2023-12-22,155,156,0.673420970898851,1865545,2713616,$92.08 B
101,ZTS,Zoetis,Health Care,"Parsippany, New Jersey",2023-12-22,197,197,-0.13393052003066,1214459,1887085,$90.90 B
102,CB,Chubb Limited,Financials,"Zurich, Switzerland",2023-12-22,220,220,0.1997513326126663,1246649,2313378,$89.79 B
103,MU,Micron Technology,Information Technology,"Boise, Idaho",2023-12-22,81,81,-0.07763763361689895,11298707,12687235,$89.19 B
104,CI,Cigna,Health Care,"Bloomfield, Connecticut",2023-12-22,293,294,0.3590376799899669,1063774,3004226,$87.00 B
105,SNPS,Synopsys,Information Technology,"Sunnyvale, California",2023-12-22,559,559,0.10964446873551636,540621,924916,$85.43 B
106,BSX,Boston Scientific,Health Care,"Marlborough, Massachusetts",2023-12-22,55,55,0.05096861878543023,4804423,5778785,$81.34 B
107,FI,Fiserv,Financials,"Brookfield, Wisconsin",2023-12-22,133,134,0.487357655899508,3043642,3288731,$80.70 B
108,SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",2023-12-22,308,307,-0.28757747714473914,1117203,1768503,$78.52 B
109,KLAC,KLA Corporation,Information Technology,"Milpitas, California",2023-12-22,581,576,-0.7172686446979265,677316,877273,$78.28 B
110,ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",2023-12-22,258,258,0.002580102548056327,576884,978780,$78.14 B
111,SO,Southern Company,Utilities,"Atlanta, Georgia",2023-12-22,71,71,0.0891862751547782,3263486,4685174,$76.97 B
112,CME,CME Group,Financials,"Chicago, Illinois",2023-12-22,211,212,0.49834371879807465,1336493,2142529,$76.42 B
113,SLB,Schlumberger,Energy,"Houston, Texas",2023-12-22,52,52,0.3159557661927285,6334390,10662987,$76.39 B
114,EQIX,Equinix,Real Estate,"Redwood City, California",2023-12-22,810,806,-0.5186736757726643,339832,490983,$75.38 B
115,CDNS,Cadence Design Systems,Information Technology,"San Jose, California",2023-12-22,273,274,0.26136409695389434,1008814,1641388,$74.80 B
116,DUK,Duke Energy,Utilities,"Charlotte, North Carolina",2023-12-22,97,96,-0.21963281649934716,2601110,4005761,$74.57 B
117,ANET,Arista Networks,Information Technology,"Santa Clara, California",2023-12-22,237,237,-0.018936737781833003,1493159,1796742,$73.30 B
118,MO,Altria,Consumer Staples,"Richmond, Virginia",2023-12-22,41,41,-0.035795405031522114,8959440,10420690,$72.59 B
119,EOG,EOG Resources,Energy,"Houston, Texas",2023-12-22,122,122,0.13879119836202897,2464987,3954227,$72.10 B
120,HCA,HCA Healthcare,Health Care,"Nashville, Tennessee",2023-12-22,269,267,-0.5676721636829323,871264,1399203,$71.63 B
121,WM,Waste Management,Industrials,"Houston, Texas",2023-12-22,176,177,0.2559123777477199,1127761,1686887,$71.36 B
122,MCO,Moody's Corporation,Financials,"New York City, New York",2023-12-22,390,390,-0.025617629557037808,533322,865828,$71.25 B
123,ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",2023-12-22,123,123,0.14311707451369918,1466592,3165036,$70.78 B
124,NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia",2023-12-22,463,464,0.20719381182670465,484822,699560,$69.87 B
125,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",2023-12-22,238,239,0.35395967148413876,1247016,1795343,$69.80 B
126,GD,General Dynamics,Industrials,"Falls Church, Virginia",2023-12-22,252,253,0.27093207041602485,543489,1057229,$69.27 B
127,CSX,CSX,Industrials,"Jacksonville, Florida",2023-12-22,34,34,0.6906605675052153,7605351,13393337,$68.36 B
128,PYPL,PayPal,Financials,"San Jose, California",2023-12-22,62,62,0.851417643839613,13153362,17759735,$68.23 B
129,USB,U.S. Bank,Financials,"Minneapolis, Minnesota",2023-12-22,44,43,-0.9800242615434017,7348393,11925246,$67.85 B
130,MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland",2023-12-22,221,220,-0.4222408440845784,1152525,1600028,$64.37 B
131,LULU,Lululemon Athletica,Consumer Discretionary,"Vancouver, Canada",2023-12-22,499,506,1.3637268935682507,920099,2353986,$64.33 B
132,CL,Colgate-Palmolive,Consumer Staples,"New York City, New York",2023-12-22,77,78,0.3622229062629777,3002373,4440657,$64.24 B
133,CMG,Chipotle Mexican Grill,Consumer Discretionary,"Newport Beach, California",2023-12-22,2304,2322,0.7780964184234865,139449,177242,$64.17 B
134,TGT,Target Corporation,Consumer Staples,"Minneapolis, Minnesota",2023-12-22,138,138,-0.09621482707409036,2287399,3826134,$63.70 B
135,FDX,FedEx,Industrials,"Memphis, Tennessee",2023-12-22,270,270,0.009866780584109882,6354425,2768315,$62.70 B
136,PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",2023-12-22,152,153,0.6658556361182132,1897272,2590060,$61.75 B
137,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",2023-12-22,272,272,-0.2853082739250144,971232,1465910,$60.51 B
138,FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona",2023-12-22,41,41,0.267208333195153,10559890,14907521,$60.46 B
139,PSX,Phillips 66,Energy,"Houston, Texas",2023-12-22,132,133,1.0211039445076813,2245520,3857487,$59.88 B
140,MCK,McKesson,Health Care,"Irving, Texas",2023-12-22,447,447,0.08310383320951271,595479,1044978,$59.55 B
141,AON,Aon,Financials,"London, UK",2023-12-22,305,307,0.6488996682276168,1101626,1215969,$59.39 B
142,PH,Parker Hannifin,Industrials,"Cleveland, Ohio",2023-12-22,456,457,0.20423853618557444,386621,620194,$59.10 B
143,MPC,Marathon Petroleum,Energy,"Findlay, Ohio",2023-12-22,152,153,0.8881528032588909,2242435,3690131,$59.08 B
144,NXPI,NXP Semiconductors,Information Technology,"Eindhoven, Netherlands",2023-12-22,230,229,-0.6573512005728666,1509943,2231097,$59.00 B
145,APH,Amphenol,Information Technology,"Wallingford, Connecticut",2023-12-22,98,98,-0.23149105454727445,1716833,3366218,$58.68 B
146,MMM,3M,Industrials,"Saint Paul, Minnesota",2023-12-22,106,106,-0.325845441812743,2133925,4118894,$58.51 B
147,ROP,Roper Technologies,Information Technology,"Sarasota, Florida",2023-12-22,542,541,-0.26616781640045695,455728,1065918,$57.66 B
