Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
414,LDOS,Leidos,Industrials,"Reston, Virginia",2023-12-22,108,107,-0.93,509467,806297,$14.84 B
415,CF,CF Industries,Materials,"Deerfield, Illinois",2023-12-22,78,77,-1.28,2080059,2467563,$14.75 B
416,PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois",2023-12-22,165,164,-0.61,492596,754108,$14.72 B
417,PODD,Insulet,Health Care,"Acton, Massachusetts",2023-12-22,205,209,1.95,623269,930530,$14.64 B
418,NDSN,Nordson Corporation,Industrials,"Westlake, Ohio",2023-12-22,251,254,1.2,289197,313466,$14.53 B
419,BEN,Franklin Templeton,Financials,"San Mateo, California",2023-12-22,29,29,0.0,3624311,3672175,$14.45 B
420,MRO,Marathon Oil,Energy,"Houston, Texas",2023-12-22,25,24,-4.0,10610078,10746214,$14.38 B
421,CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois",2023-12-22,29,29,0.0,3592310,4427950,$14.10 B
422,DPZ,Domino's,Consumer Discretionary,"Ann Arbor, Michigan",2023-12-22,402,403,0.25,551874,699372,$14.06 B
423,AMCR,Amcor,Materials,"Warmley, Bristol, United Kingdom",2023-12-22,9,9,0.0,6064945,10096703,$13.99 B
424,UAL,United Airlines Holdings,Industrials,"Chicago, Illinois",2023-12-22,43,42,-2.33,8898926,8873935,$13.88 B
425,FOX,Fox Corporation (Class B),Communication Services,"New York City, New York",2023-12-22,27,27,0.0,1847614,2336317,$13.87 B
426,FOXA,Fox Corporation (Class A),Communication Services,"New York City, New York",2023-12-22,29,29,0.0,3863559,4920721,$13.81 B
427,HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",2023-12-22,19,19,0.0,9037485,8809190,$13.77 B
428,ZBRA,Zebra Technologies,Information Technology,"Lincolnshire, Illinois",2023-12-22,271,266,-1.85,484950,443154,$13.70 B
429,INCY,Incyte,Health Care,"Wilmington, Delaware",2023-12-22,62,60,-3.23,2227224,2782710,$13.59 B
430,KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",2023-12-22,22,21,-4.55,5731273,7436306,$13.58 B
431,NWSA,News Corp (Class A),Communication Services,"New York City, New York",2023-12-22,23,23,0.0,2219563,2655638,$13.51 B
432,NWS,News Corp (Class B),Communication Services,"New York City, New York",2023-12-22,24,24,0.0,864321,1016560,$13.50 B
433,UDR,"UDR, Inc.",Real Estate,"Highlands Ranch, Colorado",2023-12-22,37,37,0.0,3530835,3571911,$13.43 B
434,TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois",2023-12-22,62,61,-1.61,1766457,1879454,$13.37 B
435,KEY,KeyCorp,Financials,"Cleveland, Ohio",2023-12-22,14,14,0.0,14252350,17784420,$13.21 B
436,SJM,J.M. Smucker Company (The),Consumer Staples,"Orrville, Ohio",2023-12-22,123,123,0.0,1076282,2132140,$13.15 B
437,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",2023-12-22,43,43,0.0,2766778,4266423,$13.04 B
438,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2023-12-22,50,50,0.0,1994973,2018639,$12.98 B
439,TRMB,Trimble Inc.,Information Technology,"Westminster, Colorado",2023-12-22,51,51,0.0,1789703,1736608,$12.85 B
440,IP,International Paper,Materials,"Memphis, Tennessee",2023-12-22,37,36,-2.7,3016755,3194754,$12.75 B
441,AES,AES Corporation,Utilities,"Arlington, Virginia",2023-12-22,19,19,0.0,4172919,6995626,$12.74 B
442,LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois",2023-12-22,46,47,2.17,2319613,1971226,$12.61 B
443,IPG,Interpublic Group of Companies (The),Communication Services,"New York City, New York",2023-12-22,32,32,0.0,3313171,4408547,$12.52 B
444,RVTY,Revvity,Health Care,"Waltham, Massachusetts",2023-12-22,102,101,-0.98,861849,943779,$12.50 B
445,REG,Regency Centers,Real Estate,"Jacksonville, Florida",2023-12-22,67,66,-1.49,915996,1157708,$12.39 B
446,VTRS,Viatris,Health Care,"Pittsburgh, Pennsylvania",2023-12-22,10,10,0.0,9040628,9734044,$12.12 B
447,JKHY,Jack Henry & Associates,Financials,"Monett, Missouri",2023-12-22,165,166,0.61,420249,638545,$12.11 B
448,MOS,Mosaic Company (The),Materials,"Tampa, Florida",2023-12-22,37,37,0.0,4145549,3988287,$12.09 B
449,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",2023-12-22,76,76,0.0,1139447,1468128,$12.02 B
450,KMX,CarMax,Consumer Discretionary,"Richmond, Virginia",2023-12-22,74,75,1.35,2675555,2260679,$11.96 B
451,TFX,Teleflex,Health Care,"Wayne, Pennsylvania",2023-12-22,257,253,-1.56,275686,292365,$11.90 B
452,EVRG,Evergy,Utilities,"Kansas City, Missouri",2023-12-22,52,51,-1.92,1971052,4191621,$11.82 B
453,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",2023-12-22,79,79,0.0,847283,1153656,$11.81 B
454,PAYC,Paycom,Industrials,"Oklahoma City, Oklahoma",2023-12-22,203,203,0.0,665771,960014,$11.75 B
455,CRL,Charles River Laboratories,Health Care,"Wilmington, Massachusetts",2023-12-22,232,228,-1.72,543338,522794,$11.70 B
456,PNR,Pentair,Industrials,"Worsley, United Kingdom",2023-12-22,70,70,0.0,1228940,1568186,$11.60 B
457,GL,Globe Life,Financials,"McKinney, Texas",2023-12-22,122,123,0.82,523054,714321,$11.59 B
458,NRG,NRG Energy,Utilities,"Houston, Texas",2023-12-22,48,49,2.08,4191582,3417381,$11.13 B
459,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",2023-12-22,71,70,-1.41,1084418,2124068,$11.03 B
460,WRK,WestRock,Materials,"Atlanta, Georgia",2023-12-22,43,42,-2.33,2509289,3059815,$10.98 B
461,APA,APA Corporation,Energy,"Houston, Texas",2023-12-22,36,35,-2.78,5881949,4621445,$10.93 B
462,NI,NiSource,Utilities,"Merrillville, Indiana",2023-12-22,26,26,0.0,4110621,5375910,$10.91 B
463,QRVO,Qorvo,Information Technology,"Greensboro, North Carolina",2023-12-22,112,111,-0.89,1262139,1403794,$10.89 B
464,FFIV,"F5, Inc.",Information Technology,"Seattle, Washington",2023-12-22,178,179,0.56,354325,581327,$10.73 B
465,CDAY,Ceridian,Industrials,"Minneapolis, Minnesota",2023-12-22,68,68,0.0,1177172,1394756,$10.72 B
466,MKTX,MarketAxess,Financials,"New York City, New York",2023-12-22,284,281,-1.06,271861,435838,$10.69 B
467,PEAK,Healthpeak,Real Estate,"Long Beach, California",2023-12-22,19,19,0.0,5796217,6417676,$10.66 B
468,CPT,Camden Property Trust,Real Estate,"Houston, Texas",2023-12-22,99,99,0.0,1172596,1067816,$10.62 B
469,EMN,Eastman Chemical Company,Materials,"Kingsport, Tennessee",2023-12-22,89,87,-2.25,834453,1103829,$10.41 B
470,ALLE,Allegion,Industrials,"Dublin, Ireland",2023-12-22,118,117,-0.85,725018,1017643,$10.35 B
471,PARA,Paramount Global,Communication Services,"New York City, New York",2023-12-22,16,15,-6.25,13966247,21253120,$10.32 B
472,UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania",2023-12-22,149,149,0.0,534073,532731,$10.23 B
473,CZR,Caesars Entertainment,Consumer Discretionary,"Reno, Nevada",2023-12-22,48,47,-2.08,2740230,4920044,$10.20 B
474,HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",2023-12-22,253,255,0.79,248757,379963,$10.13 B
475,ETSY,Etsy,Consumer Discretionary,"New York City, New York",2023-12-22,80,84,5.0,5800243,6122395,$10.11 B
476,WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",2023-12-22,89,89,0.0,1454488,2168849,$10.08 B
477,CHRW,CH Robinson,Industrials,"Eden Prairie, Minnesota",2023-12-22,85,84,-1.18,1265850,1446520,$9.85 B
478,DVA,DaVita Inc.,Health Care,"Denver, Colorado",2023-12-22,106,106,0.0,646617,1063234,$9.77 B
479,HSIC,Henry Schein,Health Care,"Melville, New York",2023-12-22,74,73,-1.35,1186064,1422080,$9.58 B
480,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",2023-12-22,41,41,0.0,2847162,4134646,$9.37 B
481,JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",2023-12-22,29,29,0.0,3431291,3952015,$9.34 B
482,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",2023-12-22,14,14,0.0,28382387,39868532,$9.31 B
483,RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York",2023-12-22,140,143,2.14,914962,799196,$9.28 B
484,MTCH,Match Group,Communication Services,"Dallas, Texas",2023-12-22,33,34,3.03,4961511,7255609,$9.25 B
485,RHI,Robert Half,Industrials,"Menlo Park, California",2023-12-22,87,87,0.0,564524,775660,$9.23 B
486,BIO,Bio-Rad,Health Care,"Hercules, California",2023-12-22,309,307,-0.65,278954,336671,$8.97 B
487,AIZ,Assurant,Financials,"Atlanta, Georgia",2023-12-22,164,165,0.61,355187,475240,$8.71 B
488,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Miami, Florida",2023-12-22,20,20,0.0,12629511,18197800,$8.64 B
489,FRT,Federal Realty,Real Estate,"Rockville, Maryland",2023-12-22,105,104,-0.95,359270,643297,$8.58 B
490,PNW,Pinnacle West,Utilities,"Phoenix, Arizona",2023-12-22,73,72,-1.37,1094352,1146104,$8.23 B
491,TPR,"Tapestry, Inc.",Consumer Discretionary,"New York City, New York",2023-12-22,36,35,-2.78,2922075,4100139,$8.22 B
492,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",2023-12-22,35,34,-2.86,1931750,3059920,$8.16 B
493,GNRC,Generac,Industrials,"Waukesha, Wisconsin",2023-12-22,128,128,0.0,738234,1243086,$7.90 B
494,IVZ,Invesco,Financials,"Atlanta, Georgia",2023-12-22,17,17,0.0,3490676,6994664,$7.80 B
495,CTLT,Catalent,Health Care,"Somerset, New Jersey",2023-12-22,41,41,0.0,1569990,2204282,$7.57 B
496,FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",2023-12-22,59,58,-1.69,1642810,1969242,$7.35 B
497,XRAY,Dentsply Sirona,Health Care,"Charlotte, North Carolina",2023-12-22,34,34,0.0,1929481,3187981,$7.22 B
498,HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island",2023-12-22,50,51,2.0,2304052,2274071,$7.21 B
499,CMA,Comerica,Financials,"Dallas, Texas",2023-12-22,55,54,-1.82,1580608,2792575,$7.21 B
500,VFC,VF Corporation,Consumer Discretionary,"Denver, Colorado",2023-12-22,18,18,0.0,14318149,7937720,$7.14 B
501,MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia",2023-12-22,105,103,-1.9,688661,1145288,$6.56 B
502,WHR,Whirlpool Corporation,Consumer Discretionary,"Benton Harbor, Michigan",2023-12-22,119,117,-1.68,627236,1108711,$6.47 B
503,ZION,Zions Bancorporation,Financials,"Salt Lake City, Utah",2023-12-22,44,43,-2.27,1837484,3059890,$6.38 B
